epsilon,qtable
"[1.0, 1.0, 1.0, 1.0]","[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[1.0, 0.9502499979166874, 1.0, 1.0]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.2,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.2,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[1.0, 0.9029374969541931, 1.0, 1.0]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.36,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.36,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[1.0, 0.9029374969541931, 0.9029374969541931, 1.0]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.36,0.0,0.0,0.0,0.0,0.0],[0.0,-0.36,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.488,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[1.0, 0.9029374969541931, 0.9029374969541931, 0.9029374969541931]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.36,0.0,0.0,0.0,0.0,0.0],[0.0,-0.36,0.0,0.0,0.0,0.0],[0.0,0.0,-0.36,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.488,0.0],[0.0,0.0,0.0,0.0,0.0,-0.2]"
"[1.0, 0.9029374969541931, 0.9029374969541931, 0.8151810902027151]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.36,0.0,0.0,0.0,0.0,0.0],[0.0,-0.36,0.0,0.0,0.0,0.0],[0.0,0.0,-0.5904,0.0,0.0,0.0],[0.0,0.0,0.0,5.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.488,0.0],[0.0,0.0,0.0,0.0,0.0,-0.2]"
"[1.0, 0.8579506215603523, 0.9029374969541931, 0.8151810902027151]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.488,0.0,0.0,0.0,0.0,0.0],[0.0,-0.36,0.0,0.0,0.0,0.0],[0.0,0.0,-0.5904,0.0,0.0,0.0],[0.0,0.0,0.0,5.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.5904,0.0],[0.0,0.0,0.0,0.0,0.0,-0.2]"
"[1.0, 0.8579506215603523, 0.9029374969541931, 0.7358801336986425]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.488,0.0,0.0,0.0,0.0,0.0],[0.0,-0.36,0.0,0.0,0.0,0.0],[0.0,0.0,-0.7378560000000001,0.0,0.0,0.0],[0.0,0.0,0.0,5.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.5904,0.0],[0.0,0.0,0.0,0.0,0.0,-0.36]"
"[1.0, 0.8151810902027151, 0.9029374969541931, 0.7358801336986425]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.5904,0.0,0.0,0.0,0.0,0.0],[0.0,-0.36,0.0,0.0,0.0,0.0],[0.0,0.0,-0.7378560000000001,0.0,0.0,0.0],[0.0,0.0,0.0,5.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.67232,0.0],[0.0,0.0,0.0,0.0,0.0,-0.36]"
"[1.0, 0.774524435549414, 0.9029374969541931, 0.7358801336986425]","[0.0,0.0,0.0,0.0,0.0,0.0],[-0.67232,0.0,0.0,0.0,0.0,0.0],[0.0,-0.36,0.0,0.0,0.0,0.0],[0.0,0.0,-0.7378560000000001,0.0,0.0,0.0],[0.0,0.0,0.0,5.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.7378560000000001,0.0],[0.0,0.0,0.0,0.0,0.0,-0.36]"
